"구분(1)",2018,2018,2018,2018,2018,2018,2018
"구분(1)",시내버스,지하철,1주간 평균 대중교통 이용횟수(1회~5회),1주간 평균 대중교통 이용횟수(5회~10회),1주간 평균 대중교통 이용횟수(10회~15회),1주간 평균 대중교통 이용횟수(15회~20회),1주간 평균 대중교통 이용횟수(20회이상)
"전체",57.3,42.7,33.9,37.7,16.1,5.9,6.4
"서울",33.3,66.7,27.2,38.1,18.8,7.5,8.5
"부산",58.4,41.6,33.5,37.7,17.7,6.3,4.9
"인천",53.2,46.8,38.8,36.4,13.5,5.1,6.3
"대구",62.1,37.9,37.5,37.7,14.7,5.2,4.9
"광주",85.6,14.4,39.0,40.7,14.0,3.9,2.4
"대전",79.8,20.2,43.7,33.4,14.5,3.5,4.9
"울산",99.3,0.7,39.3,40.9,13.8,3.5,2.5
"경기",62.6,37.4,32.1,37.1,16.5,6.4,7.8
"강원",98.4,1.6,57.5,35.3,6.1,0.9,0.2
"충북",100.0,0.0,49.8,39.7,7.6,1.7,1.3
"충남",94.3,5.7,52.7,35.2,8.7,2.1,1.4
"전북",100.0,0.0,48.8,39.1,9.6,2.0,0.5
"전남",100.0,0.0,47.7,39.5,10.6,1.6,0.6
"경북",96.1,3.9,53.8,34.2,8.1,2.4,1.5
"경남",96.1,3.9,44.7,39.8,12.2,2.3,1.0
"제주",100.0,0.0,41.0,45.4,11.2,1.1,1.3
"세종",100.0,0.0,49.5,44.1,5.6,0.7,0.0
