"구분(1)",2018,2018,2018,2018,2018,2018,2018
"구분(1)",출퇴근,등하교,업무,쇼핑,여가,학원,기타
"전체",27.3,20.0,14.8,16.5,15.4,3.7,2.3
"서울",32.1,17.4,16.1,15.3,14.4,3.5,1.3
"부산",28.0,18.7,14.6,17.5,16.6,3.2,1.3
"인천",28.4,19.4,14.5,17.1,15.9,3.1,1.7
"대구",23.6,22.5,15.2,16.8,16.2,4.6,1.1
"광주",23.1,24.8,12.5,17.1,16.1,5.0,1.5
"대전",24.2,20.3,13.4,18.9,18.5,3.1,1.7
"울산",23.6,23.6,12.2,16.7,16.2,4.8,2.9
"경기",26.7,20.0,14.9,16.9,15.6,3.9,2.1
"강원",15.7,25.3,12.2,17.3,16.3,2.2,10.9
"충북",15.5,23.9,12.6,17.8,15.6,4.7,9.9
"충남",13.2,24.9,12.1,19.1,17.0,3.7,10.0
"전북",18.9,23.5,13.4,17.0,14.9,5.3,7.1
"전남",18.5,30.2,12.2,14.9,13.3,3.4,7.4
"경북",16.5,25.5,13.8,18.3,16.8,3.8,5.4
"경남",19.9,26.4,13.0,17.7,16.0,4.2,2.7
"제주",15.1,29.3,10.7,17.2,16.1,3.1,8.5
"세종",16.0,23.3,12.0,19.7,18.2,2.0,8.8
