시/도,ID,번호,월,화,수,목,금,토,일,강우,강설
대전광역시,30300001,,28.37 ,27.38 ,29.34 ,26.39 ,26.50 ,26.42 ,31.13 ,0.00 ,0.00 
대전광역시,30300002,,7.70 ,7.57 ,7.68 ,7.64 ,7.82 ,7.95 ,9.63 ,0.00 ,0.00 
대전광역시,30300003,,28.53 ,29.38 ,31.83 ,30.86 ,32.64 ,30.28 ,35.05 ,0.00 ,0.00 
대전광역시,30300004,,25.26 ,25.93 ,24.51 ,24.12 ,23.94 ,24.07 ,39.91 ,0.00 ,0.00 
대전광역시,30300005,,134.27 ,134.18 ,134.21 ,134.20 ,134.17 ,135.07 ,132.24 ,0.00 ,0.00 
대전광역시,30300006,,57.51 ,56.43 ,56.05 ,55.84 ,57.48 ,57.26 ,57.85 ,0.00 ,0.00 
대전광역시,30300007,,36.66 ,36.73 ,35.04 ,36.52 ,37.92 ,38.13 ,37.11 ,0.00 ,0.00 
대전광역시,30300008,,52.78 ,53.66 ,54.76 ,55.00 ,52.19 ,53.63 ,54.12 ,0.00 ,0.00 
대전광역시,30300009,,62.11 ,62.73 ,62.79 ,61.23 ,62.78 ,63.62 ,63.12 ,0.00 ,0.00 
대전광역시,30300010,,51.24 ,50.44 ,50.32 ,50.14 ,49.68 ,45.37 ,49.22 ,0.00 ,0.00 
대전광역시,30300011,,46.54 ,50.05 ,48.76 ,48.09 ,48.95 ,48.16 ,48.04 ,0.00 ,0.00 
대전광역시,30300012,,117.61 ,118.55 ,119.16 ,115.38 ,118.62 ,119.18 ,114.68 ,0.00 ,0.00 
대전광역시,30300013,,109.50 ,115.45 ,99.26 ,113.65 ,128.33 ,115.61 ,111.35 ,0.00 ,0.00 
대전광역시,30300014,,203.83 ,199.10 ,204.80 ,198.34 ,214.86 ,158.72 ,225.23 ,0.00 ,0.00 
대전광역시,30300015,,110.01 ,109.99 ,110.03 ,109.93 ,109.92 ,109.97 ,109.94 ,0.00 ,0.00 
대전광역시,30300016,,45.87 ,44.80 ,40.99 ,47.25 ,43.72 ,43.55 ,45.74 ,0.00 ,0.00 
대전광역시,30300017,,75.92 ,69.56 ,77.69 ,63.82 ,67.53 ,71.27 ,71.64 ,0.00 ,0.00 
대전광역시,30300018,,73.83 ,68.25 ,73.90 ,59.55 ,73.72 ,55.39 ,67.47 ,0.00 ,0.00 
대전광역시,30300021,,51.47 ,53.01 ,45.77 ,51.11 ,51.59 ,49.71 ,51.37 ,0.00 ,0.00 
대전광역시,30300025,,159.97 ,160.02 ,160.07 ,159.99 ,159.99 ,159.97 ,159.99 ,0.00 ,0.00 
대전광역시,30300026,,75.80 ,75.85 ,75.16 ,75.71 ,75.18 ,75.03 ,76.69 ,0.00 ,0.00 
대전광역시,30300027,,219.25 ,151.93 ,215.81 ,219.73 ,220.32 ,220.14 ,220.51 ,0.00 ,0.00 
대전광역시,30300028,,222.31 ,443.32 ,199.75 ,224.01 ,225.20 ,220.63 ,223.33 ,0.00 ,0.00 
대전광역시,30300029,,185.03 ,161.48 ,166.82 ,166.73 ,162.38 ,162.50 ,168.28 ,0.00 ,0.00 
대전광역시,30300030,,0.00 ,42.38 ,28.35 ,15.82 ,25.02 ,0.00 ,57.98 ,0.00 ,0.00 
대전광역시,30300032,,115.01 ,127.82 ,110.63 ,114.98 ,110.22 ,115.21 ,113.94 ,0.00 ,0.00 
대전광역시,30300034,,35.22 ,34.02 ,34.50 ,36.70 ,34.53 ,35.41 ,31.83 ,0.00 ,0.00 
대전광역시,30300035,,145.87 ,152.52 ,152.33 ,152.53 ,152.39 ,152.51 ,0.00 ,0.00 ,0.00 
대전광역시,30300036,,18.96 ,18.93 ,18.65 ,19.09 ,18.98 ,20.97 ,20.98 ,0.00 ,0.00 
대전광역시,30300037,,6.56 ,6.44 ,6.38 ,6.62 ,6.69 ,8.42 ,9.15 ,0.00 ,0.00 
대전광역시,30300038,,12.59 ,12.87 ,12.14 ,10.96 ,12.12 ,11.98 ,13.09 ,0.00 ,0.00 
대전광역시,30300039,,16.96 ,17.24 ,17.11 ,17.08 ,17.48 ,18.33 ,18.37 ,0.00 ,0.00 
대전광역시,30300040,,9.34 ,9.28 ,9.45 ,9.42 ,9.48 ,9.88 ,11.64 ,0.00 ,0.00 
대전광역시,30300041,,9.57 ,9.84 ,10.16 ,9.76 ,9.46 ,10.75 ,10.96 ,0.00 ,0.00 
대전광역시,30300042,,19.99 ,20.03 ,20.12 ,19.98 ,20.03 ,19.88 ,19.74 ,0.00 ,0.00 
대전광역시,30300043,,11.42 ,11.50 ,10.80 ,11.02 ,11.41 ,12.73 ,14.48 ,0.00 ,0.00 
대전광역시,30300045,,18.59 ,18.36 ,18.54 ,18.56 ,19.25 ,21.52 ,20.93 ,0.00 ,0.00 
대전광역시,30300046,,18.04 ,19.08 ,18.43 ,18.40 ,18.33 ,26.24 ,27.29 ,0.00 ,0.00 
대전광역시,30300047,,16.19 ,16.11 ,15.75 ,15.75 ,15.40 ,17.04 ,17.74 ,0.00 ,0.00 
대전광역시,30300048,,21.11 ,21.45 ,23.03 ,21.85 ,21.66 ,27.95 ,23.48 ,0.00 ,0.00 
대전광역시,30300049,,14.75 ,15.60 ,14.33 ,15.00 ,15.51 ,15.88 ,17.33 ,0.00 ,0.00 
대전광역시,30300050,,22.38 ,21.59 ,22.25 ,22.79 ,22.32 ,24.89 ,29.08 ,0.00 ,0.00 
대전광역시,30300051,,7.64 ,7.26 ,7.48 ,7.56 ,7.48 ,7.70 ,9.13 ,0.00 ,0.00 
대전광역시,30300052,,27.90 ,27.29 ,25.97 ,25.97 ,25.08 ,27.83 ,28.34 ,0.00 ,0.00 
대전광역시,30300053,,11.34 ,10.66 ,11.51 ,10.85 ,10.85 ,13.38 ,13.58 ,0.00 ,0.00 
대전광역시,30300054,,7.43 ,7.24 ,7.39 ,7.37 ,7.38 ,11.11 ,13.29 ,0.00 ,0.00 
대전광역시,30300055,,6.34 ,6.18 ,6.64 ,6.79 ,6.87 ,7.71 ,6.92 ,0.00 ,0.00 
대전광역시,30300056,,15.53 ,16.34 ,16.03 ,15.59 ,15.95 ,17.04 ,17.25 ,0.00 ,0.00 
대전광역시,30300057,,20.54 ,19.58 ,22.03 ,22.31 ,22.36 ,26.26 ,24.87 ,0.00 ,0.00 
대전광역시,30300058,,10.10 ,10.48 ,10.38 ,10.25 ,10.56 ,12.29 ,14.01 ,0.00 ,0.00 
대전광역시,30300059,,18.50 ,18.48 ,18.18 ,18.37 ,18.24 ,21.15 ,24.81 ,0.00 ,0.00 
대전광역시,30300060,,18.62 ,18.44 ,18.94 ,17.68 ,18.27 ,20.50 ,18.74 ,0.00 ,0.00 
대전광역시,30300061,,21.70 ,20.64 ,20.65 ,19.97 ,19.23 ,19.34 ,20.49 ,0.00 ,0.00 
대전광역시,30300062,,16.44 ,17.09 ,16.72 ,16.71 ,16.61 ,18.58 ,23.74 ,0.00 ,0.00 
대전광역시,30300063,,12.35 ,12.09 ,11.95 ,12.44 ,11.79 ,13.58 ,13.37 ,0.00 ,0.00 
대전광역시,30300064,,11.50 ,11.60 ,11.49 ,12.15 ,11.29 ,11.78 ,11.52 ,0.00 ,0.00 
대전광역시,30300065,,18.64 ,20.83 ,21.40 ,19.72 ,20.96 ,21.40 ,24.68 ,0.00 ,0.00 
대전광역시,30300066,,21.42 ,21.69 ,21.81 ,21.75 ,21.64 ,29.09 ,28.93 ,0.00 ,0.00 
대전광역시,30300067,,14.86 ,14.59 ,15.11 ,14.73 ,14.77 ,17.57 ,17.51 ,0.00 ,0.00 
대전광역시,30300068,,17.10 ,16.78 ,17.30 ,17.07 ,16.98 ,19.76 ,19.42 ,0.00 ,0.00 
대전광역시,30300069,,17.84 ,17.81 ,18.12 ,17.76 ,17.57 ,23.67 ,23.33 ,0.00 ,0.00 
대전광역시,30300070,,11.71 ,12.57 ,12.76 ,12.73 ,12.28 ,13.97 ,19.65 ,0.00 ,0.00 
대전광역시,30300071,,11.09 ,10.83 ,11.10 ,11.11 ,11.23 ,12.93 ,12.54 ,0.00 ,0.00 
대전광역시,30300072,,10.79 ,10.82 ,10.53 ,10.75 ,10.80 ,12.36 ,11.77 ,0.00 ,0.00 
대전광역시,30300073,,20.24 ,18.85 ,20.34 ,20.36 ,20.02 ,23.04 ,22.59 ,0.00 ,0.00 
대전광역시,30300074,,13.60 ,12.69 ,13.01 ,16.08 ,15.34 ,13.98 ,13.37 ,0.00 ,0.00 
대전광역시,30300075,,16.11 ,15.83 ,15.99 ,15.82 ,16.21 ,17.60 ,17.56 ,0.00 ,0.00 
대전광역시,30300076,,18.08 ,18.41 ,17.55 ,17.79 ,17.84 ,25.49 ,25.98 ,0.00 ,0.00 
대전광역시,30300077,,12.21 ,12.49 ,12.29 ,13.10 ,13.34 ,15.24 ,15.59 ,0.00 ,0.00 
대전광역시,30300078,,17.86 ,16.06 ,17.77 ,17.05 ,17.12 ,21.38 ,21.41 ,0.00 ,0.00 
대전광역시,30300079,,13.78 ,13.74 ,13.45 ,14.66 ,13.85 ,14.96 ,14.50 ,0.00 ,0.00 
대전광역시,30300080,,19.19 ,18.05 ,16.48 ,18.15 ,19.42 ,20.45 ,20.50 ,0.00 ,0.00 
대전광역시,30300081,,14.95 ,14.85 ,14.97 ,14.99 ,14.54 ,17.27 ,17.23 ,0.00 ,0.00 
대전광역시,30300082,,16.92 ,17.05 ,17.05 ,16.91 ,16.97 ,20.70 ,19.84 ,0.00 ,0.00 
대전광역시,30300083,,19.17 ,18.94 ,19.15 ,19.72 ,18.86 ,21.23 ,20.89 ,0.00 ,0.00 
대전광역시,30300084,,19.86 ,19.98 ,20.19 ,20.82 ,19.86 ,26.46 ,26.15 ,0.00 ,0.00 
대전광역시,30300086,,15.19 ,15.22 ,15.02 ,15.01 ,14.82 ,18.73 ,18.46 ,0.00 ,0.00 
대전광역시,30300087,,11.39 ,11.51 ,11.46 ,11.46 ,11.52 ,14.93 ,14.93 ,0.00 ,0.00 
대전광역시,30300088,,14.57 ,14.62 ,14.95 ,15.57 ,15.47 ,15.69 ,17.42 ,0.00 ,0.00 
대전광역시,30300089,,13.16 ,11.55 ,11.96 ,12.14 ,12.45 ,15.13 ,13.97 ,0.00 ,0.00 
대전광역시,30300090,,13.87 ,13.73 ,13.44 ,13.56 ,14.13 ,14.05 ,16.46 ,0.00 ,0.00 
대전광역시,30300091,,15.86 ,15.82 ,15.80 ,15.86 ,15.89 ,17.97 ,17.79 ,0.00 ,0.00 
대전광역시,30300092,,25.84 ,25.45 ,25.51 ,25.44 ,25.48 ,31.12 ,30.88 ,0.00 ,0.00 
대전광역시,30300093,,15.84 ,16.70 ,16.07 ,16.26 ,16.16 ,19.13 ,22.96 ,0.00 ,0.00 
대전광역시,30300094,,16.23 ,15.02 ,15.28 ,14.82 ,13.25 ,16.36 ,16.61 ,0.00 ,0.00 
대전광역시,30300095,,18.78 ,19.11 ,20.03 ,18.58 ,18.78 ,23.85 ,24.81 ,0.00 ,0.00 
대전광역시,30300096,,20.95 ,20.97 ,20.90 ,21.21 ,21.85 ,25.25 ,24.61 ,0.00 ,0.00 
대전광역시,30300097,,144.34 ,144.33 ,144.34 ,136.48 ,123.37 ,143.93 ,144.11 ,0.00 ,0.00 
대전광역시,30300099,,136.78 ,134.19 ,129.90 ,144.02 ,133.97 ,126.13 ,133.68 ,0.00 ,0.00 
대전광역시,30300100,,7.76 ,7.64 ,7.71 ,7.63 ,7.70 ,8.13 ,9.18 ,0.00 ,0.00 
대전광역시,30300101,,14.29 ,14.18 ,14.21 ,13.96 ,14.27 ,15.75 ,15.80 ,0.00 ,0.00 
